id	organism	seedid	kingdom	phylum	class	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid	species	file	taxa_id
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva ATCC 49176 (592010.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive	Pathogen	631	2428	1250	Eugen Bauer	07/01/14	1.0	2562617177.0	592010.0	ModelSEED		defectiva	agora/Abiotrophia_defectiva_ATCC_49176.xml	46125.0
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans A8 (762376.5)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Aerobe	Respiratory	Negative		1663	1668	1229					762376.0	ModelSEED	kb_g_3268_model_gf	xylosoxidans	agora/Achromobacter_xylosoxidans_A8.xml	85698.0
Achromobacter_xylosoxidans_NBRC_15126	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Aerobe	Respiratory	Negative		1380	1674	1216					1216976.0	Kbase	kb|g.208127	xylosoxidans	agora/Achromobacter_xylosoxidans_NBRC_15126.xml	85698.0
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans DSM 20731 (591001.3)	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Obligate anaerobe	Fermentative	Negative		645	1102	905	Laura Kutt	04/17/16		646311901.0	591001.0	Kbase	kb|g.2555	fermentans	agora/Acidaminococcus_fermentans_DSM_20731.xml	905.0
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	600	1001	828	Eugen Bauer	08/03/14	4.0	2511231106.0	568816.0	Kbase		intestini	agora/Acidaminococcus_intestini_RyC_MR95.xml	187327.0
Acidaminococcus_sp_D21	Acidaminococcus sp. D21	Acidaminococcus sp. D21 (563191.3)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	562	860	770	Ines Thiele	06/29/12	3.0	643886056.0	563191.0	Kbase			agora/Acidaminococcus_sp_D21.xml	904.0
Acinetobacter_baumannii_AB0057	Acinetobacter baumannii AB0057	Acinetobacter baumannii AB0057 (480119.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Respiratory	Negative		1021	1593	1181					480119.0	Kbase	kb|g.1744	baumannii	agora/Acinetobacter_baumannii_AB0057.xml	470.0
Acinetobacter_calcoaceticus_PHEA_2	Acinetobacter calcoaceticus PHEA-2	Acinetobacter calcoaceticus PHEA-2 (871585.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Respiratory	Negative		1026	1586	1164	Laura Kutt	04/18/16		650377903.0	871585.0	Kbase	kb|g.3519	calcoaceticus	agora/Acinetobacter_calcoaceticus_PHEA_2.xml	471.0
Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus NIPH 261 (1217986.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Respiratory	Negative		876	1382	1073	Laura Kutt	04/18/16		2537561834.0	1217986.0	ModelSEED	kb|g.31235	haemolyticus	agora/Acinetobacter_haemolyticus_NIPH_261.xml	29430.0
Acinetobacter_johnsonii_SH046	Acinetobacter johnsonii SH046	Acinetobacter johnsonii SH046 (575586.4)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Asaccharolytic	Negative		863	1446	1068	Laura Kutt	04/18/16		646206268.0	575586.0	ModelSEED	kb|g.2448	johnsonii	agora/Acinetobacter_johnsonii_SH046.xml	40214.0
