,taxon,sample_id,abundance,growth_rate
0,Actinomyces,Healthy4,0.0010528395774077113,58.41514842535134
3,Alistipes,Healthy4,0.00046448804885634317,23.433915801396168
4,Anaerococcus,Healthy4,0.00236888904916735,8.199813942466266
11,Dialister,Healthy4,0.043429632568068095,8.637658166608349
17,Odoribacter,Healthy4,0.03198000216375923,6.39372027342289
18,Parabacteroides,Healthy4,0.0022372841019913867,36.126406725382225
21,Pseudomonas,Healthy4,0.001184444524583675,77.39087854446655
23,Streptococcus,Healthy4,0.003790222478667761,207.2323828874466
25,Veillonella,Healthy4,0.00026320989435192784,6.718865002014849
27,Acinetobacter,Cancer2,0.003246407053568605,12.878751754224627
28,Actinomyces,Cancer2,0.0018035594742047808,3.3731739769267457
29,Alistipes,Cancer2,0.0058244361843436745,2.7311217925537288
45,Neisseria,Cancer2,0.0043285427380914746,8.759180051231455
49,Porphyromonas,Cancer2,0.02705339211307171,54.74642922925188
50,Pseudomonas,Cancer2,0.0010821356845228684,4.9939579987010525
52,Staphylococcus,Cancer2,0.011362424687490118,72.72122380608516
53,Streptococcus,Cancer2,0.02423983933331225,39.881957415061905
56,Acidaminococcus,Healthy3,0.020368499505256314,5.559065850946372
57,Actinomyces,Healthy3,0.005191970462124158,2.769267654316205
58,Alistipes,Healthy3,0.0034534826150780604,1.6765979490105898
67,Dialister,Healthy3,0.26598864059805305,1.9191957414615533
71,Haemophilus,Healthy3,0.04073699901051263,16.529672323099717
73,Lachnoclostridium,Healthy3,0.0008713796579788799,0.33631591710034103
76,Leuconostoc,Healthy3,0.014377764356651515,5.720961136937195
78,Methanobrevibacter,Healthy3,0.0023962940594419195,0.026272079759119143
79,Odoribacter,Healthy3,0.0029953675743024,0.02330678579442546
82,Streptococcus,Healthy3,0.00838702920804672,4.408943351103996
84,Veillonella,Healthy3,0.0007987646864806398,0.19888265962941293
85,Acinetobacter,Cancer1,0.01847567929370702,14.960049701997507
86,Actinomyces,Cancer1,0.005645346450854922,3.5142443676739736
88,Alistipes,Cancer1,0.023456867338579008,11.666978305447447
91,Bacillus,Cancer1,0.013856759470280264,8.625709281443514
105,Haemophilus,Cancer1,0.04618919823426754,13.354631515543305
106,Lachnoclostridium,Cancer1,0.0025194108127782303,0.5038600718208502
110,Neisseria,Cancer1,0.027713518940560528,17.631070749237292
115,Pseudomonas,Cancer1,0.006158559764569006,5.34290576204784
117,Staphylococcus,Cancer1,0.03541171864627179,36.36619490806964
118,Streptococcus,Cancer1,0.020939103199534626,12.614037080949096
121,Acinetobacter,Healthy7,0.03983670583562,3.811105303198605
122,Actinomyces,Healthy7,0.014341214100823204,1.2832884845838373
123,Alistipes,Healthy7,0.0007967341167124001,0.0727766325043313
125,Bacillus,Healthy7,0.058958324636717616,5.275714075075587
127,Blautia,Healthy7,0.08715045492038716,2.131217690301969
128,Dorea,Healthy7,0.0509909834695936,0.26586983421486204
129,Eggerthella,Healthy7,0.0031869364668496,0.2135395526807405
130,Enterococcus,Healthy7,0.031869364668496006,1.7980859857885765
131,Erysipelatoclostridium,Healthy7,0.011609554272094973,0.1237289878104547
132,Faecalibacterium,Healthy7,0.036350994075003265,1.218513780880569
134,Granulicatella,Healthy7,0.015934682334248003,0.12156084553640943
135,Lactobacillus,Healthy7,0.00270889599682216,3.7650804037003166e-06
136,Lactococcus,Healthy7,0.0015934682334248,0.0681644581889418
138,Methanobrevibacter,Healthy7,0.0015934682334248,0.07126835539781072
139,Neisseria,Healthy7,0.0661289316871292,5.947286789231278
141,Porphyromonas,Healthy7,0.0191216188010976,1.7197014819289749
142,Pseudomonas,Healthy7,0.018723251742741403,1.8270031517932719
143,Roseburia,Healthy7,0.009859584694315951,3.3268029015479506e-06
144,Rothia,Healthy7,0.0023902023501372,0.1601512931227666
145,Staphylococcus,Healthy7,0.14181867277480725,14.585472998925002
146,Streptococcus,Healthy7,0.025814185381481763,2.2927847618573085
147,Subdoligranulum,Healthy7,0.0009295231361644668,8.310136010280929e-06
149,Acidaminococcus,Cancer4,0.01694606348413408,35.550941449830496
150,Actinomyces,Cancer4,0.0025419095226201123,10.554409613076364
152,Alistipes,Cancer4,0.011912085802082488,44.960907341603395
163,Eubacterium,Cancer4,0.001694606348413408,7.694636818260143
168,Lachnoclostridium,Cancer4,0.002927047329077705,8.750185238991213
171,Methanobrevibacter,Cancer4,0.3592565458636425,0.7572881106134106
172,Odoribacter,Cancer4,0.0033892126968268163,0.023385240157802547
173,Parabacteroides,Cancer4,0.007696337165710896,9.230446693965176
176,Slackia,Cancer4,0.03601038490378492,0.08088412659900812
177,Streptococcus,Cancer4,0.002711370157461453,11.09360035426389
181,Veillonella,Cancer4,0.000423651587103352,0.8104773677685517
182,Acidaminococcus,Cancer8,0.019145134351907258,23.94031070080165
183,Actinomyces,Cancer8,0.0020512643948472067,4.94053347049883
185,Alistipes,Cancer8,0.00028154609341040087,0.6181546556202089
195,Dialister,Cancer8,0.08478559498701786,5.848994285399393
197,Eggerthella,Cancer8,0.004444406188835614,5.557546259091736
206,Lachnoclostridium,Cancer8,0.003356614464295429,5.884331675218874
210,Odoribacter,Cancer8,0.004444406188835614,0.3065182994384427
211,Parabacteroides,Cancer8,0.0049572222875474145,3.687750876713121
212,Paraprevotella,Cancer8,0.00034187739914120114,0.02516639816375174
214,Streptococcus,Cancer8,0.01285459020770916,30.521191280255877
216,Acidaminococcus,Cancer3,0.011076845684422723,65.59366820954796
217,Actinomyces,Cancer3,0.00295382551584606,34.607111176922324
219,Alistipes,Cancer3,0.006059686168537138,64.53867939500128
228,Erysipelatoclostridium,Cancer3,0.0006329626105384414,2.8248648274671122e-06
229,Faecalibacterium,Cancer3,0.07186103637769242,1.4099426848044355e-06
232,Haemophilus,Cancer3,0.002215369136884545,19.66595247597581
234,Lachnoclostridium,Cancer3,0.002517464928277892,21.238308216922995
