,taxon,sample_id,abundance,growth_rate
0,Actinomyces,Healthy4,0.0010528395774077113,1.1673064342144572
3,Alistipes,Healthy4,0.00046448804885634317,0.4795337578284186
4,Anaerococcus,Healthy4,0.00236888904916735,0.7572440778947043
11,Dialister,Healthy4,0.043429632568068095,11.733786761811588
12,Dorea,Healthy4,0.0973876609102133,0.016137753063265228
14,Faecalibacterium,Healthy4,0.046292040169145315,3.4947143286196405
17,Odoribacter,Healthy4,0.03198000216375923,8.640734093908963
18,Parabacteroides,Healthy4,0.0022372841019913867,1.1456701617403842
21,Pseudomonas,Healthy4,0.001184444524583675,1.490286406849255
23,Streptococcus,Healthy4,0.003790222478667761,4.155856995767697
25,Veillonella,Healthy4,0.00026320989435192784,0.1726266063467378
27,Acinetobacter,Cancer2,0.003246407053568605,1.3507124768687082
28,Actinomyces,Cancer2,0.0018035594742047808,0.6605223028156288
29,Alistipes,Cancer2,0.0058244361843436745,1.9391190310302409
37,Enterococcus,Cancer2,0.00378747489583004,0.3783297656459579
39,Haemophilus,Cancer2,0.06871561596720215,19.06838932653472
40,Lachnoclostridium,Cancer2,0.0014264515841437811,0.3761889575531099
44,Methanobrevibacter,Cancer2,0.6341315111304009,0.2255754064024595
45,Neisseria,Cancer2,0.0043285427380914746,1.601023378426936
46,Odoribacter,Cancer2,0.011362424687490118,0.009198531880698869
47,Parabacteroides,Cancer2,0.0068084370151230466,0.7210492512481266
49,Porphyromonas,Cancer2,0.02705339211307171,10.006433038939557
50,Pseudomonas,Cancer2,0.0010821356845228684,0.4669428333626253
52,Staphylococcus,Cancer2,0.011362424687490118,5.384503621976966
53,Streptococcus,Cancer2,0.02423983933331225,8.747814785240326
55,Veillonella,Cancer2,0.0009919577108126294,0.16749643044781426
56,Acinetobacter,Healthy7,0.03983670583562,1.9887263592149196
57,Actinomyces,Healthy7,0.014341214100823204,0.6793310847826917
58,Alistipes,Healthy7,0.0007967341167124001,0.03932168823537023
59,Anaerostipes,Healthy7,0.26610919498194163,0.6500895938756149
60,Bacillus,Healthy7,0.058958324636717616,2.7927961033063244
62,Blautia,Healthy7,0.08715045492038716,1.7894067311741146
63,Dorea,Healthy7,0.0509909834695936,0.6928891168287659
64,Eggerthella,Healthy7,0.0031869364668496,0.12220281298859975
65,Enterococcus,Healthy7,0.031869364668496006,1.074782260528541
66,Erysipelatoclostridium,Healthy7,0.011609554272094973,0.17226276116401024
67,Faecalibacterium,Healthy7,0.036350994075003265,0.8823844086582244
69,Granulicatella,Healthy7,0.015934682334248003,0.21652517494457552
70,Lactobacillus,Healthy7,0.00270889599682216,0.002108221894912567
71,Lactococcus,Healthy7,0.0015934682334248,0.04510029288982774
73,Methanobrevibacter,Healthy7,0.0015934682334248,0.048280084086047885
74,Neisseria,Healthy7,0.0661289316871292,3.1448133809565557
76,Porphyromonas,Healthy7,0.0191216188010976,0.909344965974112
77,Pseudomonas,Healthy7,0.018723251742741403,0.949468861790686
78,Roseburia,Healthy7,0.009859584694315951,0.011373775398714052
79,Rothia,Healthy7,0.0023902023501372,0.09181651318457544
80,Staphylococcus,Healthy7,0.14181867277480725,7.499964856953176
81,Streptococcus,Healthy7,0.025814185381481763,1.2157251718260254
84,Acidaminococcus,Healthy3,0.020368499505256314,0.18537108928712176
85,Actinomyces,Healthy3,0.005191970462124158,0.05444785230407295
86,Alistipes,Healthy3,0.0034534826150780604,0.03642281994848244
