,reaction,sample_id,flux
0,EX_cytd_m,Cancer3,0.0977138831380073
1,EX_dcyt_m,Cancer3,0.09771025646039755
2,EX_csn_m,Cancer3,0.01777975696487974
3,EX_arg_L_m,Cancer3,0.014975487830108929
4,EX_his_L_m,Cancer3,0.012715587391082778
5,EX_asn_L_m,Cancer3,1e-06
6,EX_gln_L_m,Cancer3,1e-06
7,EX_lys_L_m,Cancer3,1e-06
8,EX_trp_L_m,Cancer3,1e-06
9,EX_thm_m,Cancer3,1e-06
10,EX_pheme_m,Cancer3,0.00035082332299079806
11,EX_sheme_m,Cancer3,0.000350822803152307
12,EX_fe2_m,Cancer3,0.0002413373645045621
13,EX_fe3_m,Cancer3,0.00046655224461709054
14,EX_cu2_m,Cancer3,0.0003503886044013164
15,EX_cl_m,Cancer3,0.00035177977186616146
16,EX_mg2_m,Cancer3,0.0003505643173951837
17,EX_k_m,Cancer3,0.0003599074030808833
18,EX_mn2_m,Cancer3,0.0003496672614457155
19,EX_cobalt2_m,Cancer3,0.0003516432947129147
20,EX_ca2_m,Cancer3,0.00034970811534718906
21,EX_zn2_m,Cancer3,0.00035042738508901287
22,EX_metsox_S_L_m,Cancer3,1e-06
23,EX_pydam_m,Cancer3,1e-06
24,EX_dextran40_m,Cancer3,1e-06
25,EX_arabinoxyl_m,Cancer3,1e-06
26,EX_rhamnogalurII_m,Cancer3,1e-06
27,EX_pnto_R_m,Cancer3,6.222760474362509e-06
28,EX_q8_m,Cancer3,1e-06
29,EX_arabinan101_m,Cancer3,1e-06
30,EX_homogal_m,Cancer3,1e-06
31,EX_lichn_m,Cancer3,1e-06
32,EX_amylose300_m,Cancer3,1e-06
33,EX_glcmannan_m,Cancer3,1e-06
34,EX_xylan_m,Cancer3,1e-06
35,EX_pect_m,Cancer3,1e-06
36,EX_pydx_m,Cancer3,1e-06
37,EX_gthrd_m,Cancer3,1e-06
38,EX_pi_m,Cancer3,1e-06
39,EX_galmannan_m,Cancer3,1e-06
40,EX_xyluglc_m,Cancer3,1e-06
41,EX_levan1000_m,Cancer3,1e-06
42,EX_arabinogal_m,Cancer3,1e-06
43,EX_pullulan1200_m,Cancer3,1e-06
44,EX_starch1200_m,Cancer3,1e-06
45,EX_amylopect900_m,Cancer3,1e-06
46,EX_rhamnogalurI_m,Cancer3,1e-06
47,EX_gthox_m,Cancer3,0.00017112374030117824
48,EX_spmd_m,Cancer3,1e-06
49,EX_fol_m,Cancer3,1e-06
50,EX_ptrc_m,Cancer3,1e-06
51,EX_orn_m,Cancer3,1e-06
52,EX_26dap_M_m,Cancer3,1e-06
53,EX_nmn_m,Cancer3,0.011707269463277116
54,EX_amp_m,Cancer3,0.08110752581587333
55,EX_cgly_m,Cancer3,6.260462035488457e-05
56,EX_cytd_m,Healthy4,0.09301319710207243
57,EX_dcyt_m,Healthy4,0.09393827079000161
58,EX_csn_m,Healthy4,0.0016534180031856753
59,EX_arg_L_m,Healthy4,0.014968152230243045
60,EX_his_L_m,Healthy4,0.012287922695042898
61,EX_asn_L_m,Healthy4,1e-06
62,EX_gln_L_m,Healthy4,1e-06
63,EX_lys_L_m,Healthy4,1e-06
64,EX_trp_L_m,Healthy4,1e-06
65,EX_thm_m,Healthy4,1e-06
66,EX_pheme_m,Healthy4,0.0003136029495078463
67,EX_sheme_m,Healthy4,0.00031245746611282925
68,EX_fe2_m,Healthy4,0.0002196802708813735
69,EX_fe3_m,Healthy4,0.0004248584726436881
70,EX_cu2_m,Healthy4,0.00030782348293068935
71,EX_cl_m,Healthy4,0.00031531874862675426
72,EX_mg2_m,Healthy4,0.0003170928942671162
73,EX_k_m,Healthy4,0.0003328980570772455
74,EX_mn2_m,Healthy4,0.0003376448858863067
75,EX_cobalt2_m,Healthy4,0.0003427001459636288
76,EX_ca2_m,Healthy4,0.00034270014575805085
77,EX_zn2_m,Healthy4,0.0003423496802181411
78,EX_metsox_S_L_m,Healthy4,1e-06
79,EX_pydam_m,Healthy4,1e-06
80,EX_dextran40_m,Healthy4,1e-06
81,EX_arabinoxyl_m,Healthy4,1e-06
82,EX_rhamnogalurII_m,Healthy4,1e-06
83,EX_pnto_R_m,Healthy4,1e-06
84,EX_q8_m,Healthy4,1e-06
85,EX_arabinan101_m,Healthy4,1e-06
86,EX_homogal_m,Healthy4,1e-06
