,sample_id,taxon,UMAP 1,UMAP 2
0,Cancer1,Acinetobacter,2.268731,-1.1300443
1,Cancer1,Actinomyces,-2.5223348,4.0721116
2,Cancer1,Akkermansia,3.7342696,-0.36222672
3,Cancer1,Alistipes,3.4094727,1.0350739
4,Cancer1,Anaerostipes,2.7630632,-3.352519
5,Cancer1,Atopobium,1.5394781,1.378198
6,Cancer1,Bacillus,2.4270017,-0.53561103
7,Cancer1,Bacteroides,3.1404083,1.3274244
8,Cancer1,Bifidobacterium,0.9151195,-2.2755404
9,Cancer1,Bilophila,5.307243,-4.283976
10,Cancer1,Blautia,3.459974,-4.5332227
11,Cancer1,Butyricicoccus,7.297264,-1.6145061
12,Cancer1,Butyricimonas,0.61528355,1.6817772
13,Cancer1,Collinsella,7.399536,-3.2903056
14,Cancer1,Desulfovibrio,0.14515,0.23250026
15,Cancer1,Dorea,1.5783709,-0.12448762
16,Cancer1,Enterococcus,1.9875265,-0.63742024
17,Cancer1,Erysipelatoclostridium,-1.2013221,2.021884
18,Cancer1,Faecalibacterium,4.797469,-2.5845127
19,Cancer1,Gemella,-2.1166027,3.5383492
20,Cancer1,Haemophilus,3.0798247,-0.167564
21,Cancer1,Lachnoclostridium,-2.3236907,0.13174357
22,Cancer1,Lachnospira,3.3086061,3.5237396
23,Cancer1,Listeria,0.69306844,0.90024996
24,Cancer1,Mogibacterium,4.5444765,0.18720399
25,Cancer1,Neisseria,2.9467397,0.03573464
26,Cancer1,Odoribacter,2.0323322,0.7819536
27,Cancer1,Parabacteroides,1.2331973,3.3213117
28,Cancer1,Parasutterella,4.9472804,0.8287171
29,Cancer1,Phascolarctobacterium,4.9064693,1.7148461
30,Cancer1,Pseudomonas,-1.3158989,0.043819573
31,Cancer1,Roseburia,4.9069967,-1.4157922
32,Cancer1,Staphylococcus,1.5108551,-2.0874949
33,Cancer1,Streptococcus,-1.7777914,-3.3203547
34,Cancer1,Subdoligranulum,4.638989,-1.1115139
35,Cancer1,Veillonella,-0.11511485,0.6493857
36,Cancer2,Acinetobacter,2.0515385,-0.9445853
37,Cancer2,Actinomyces,-2.723154,3.9251807
38,Cancer2,Alistipes,1.1137905,1.3583661
39,Cancer2,Anaerostipes,3.1007142,-2.742894
40,Cancer2,Bacteroides,1.51811,2.4650717
41,Cancer2,Bilophila,5.4235716,-4.536866
42,Cancer2,Blautia,3.6407237,-4.4299264
43,Cancer2,Butyricicoccus,7.5748606,-1.725273
44,Cancer2,Collinsella,7.289488,-3.2060983
45,Cancer2,Dorea,1.4248147,-0.2652141
46,Cancer2,Enterococcus,-0.41139126,-0.0201956
47,Cancer2,Faecalibacterium,4.1685724,-2.4490652
48,Cancer2,Haemophilus,3.3712087,-0.43596542
49,Cancer2,Lachnoclostridium,-2.3943357,0.20357123
50,Cancer2,Lachnospira,3.1550658,3.762958
51,Cancer2,Lactobacillus,-2.6170697,0.33027643
52,Cancer2,Listeria,0.34200597,0.8799335
53,Cancer2,Methanobrevibacter,3.8624606,0.50351954
54,Cancer2,Neisseria,2.6486895,-0.6024514
55,Cancer2,Odoribacter,1.407246,1.0729115
56,Cancer2,Parabacteroides,1.2385854,3.2655668
57,Cancer2,Phascolarctobacterium,5.49191,1.827939
58,Cancer2,Porphyromonas,2.1913748,0.78865
59,Cancer2,Pseudomonas,-1.733252,-0.03857156
60,Cancer2,Roseburia,6.159309,-1.466659
61,Cancer2,Staphylococcus,1.7056932,-1.6237282
62,Cancer2,Streptococcus,-1.5867072,-3.2179248
63,Cancer2,Subdoligranulum,3.9716947,-1.5013623
64,Cancer2,Veillonella,-0.9778949,1.0599425
65,Cancer3,Acidaminococcus,3.0089357,-1.5342925
