,reaction,metabolite,sample_id,flux
0,EX_12dgr180(e),12dgr180(e),Cancer7,1.6611646876580912e-15
1,EX_12dgr180(e),12dgr180(e),Healthy5,7.122087530891134e-13
2,EX_12dgr180(e),12dgr180(e),Healthy6,4.205806427675147e-15
3,EX_12dhchol(e),12dhchol(e),Cancer1,2.509112877174691
4,EX_12dhchol(e),12dhchol(e),Cancer2,4.137271165597941
5,EX_12dhchol(e),12dhchol(e),Cancer3,8.197136699395532
6,EX_12dhchol(e),12dhchol(e),Cancer4,16.0888886955687
7,EX_12dhchol(e),12dhchol(e),Cancer5,7.893959881495694
8,EX_12dhchol(e),12dhchol(e),Cancer6,0.983628835285268
9,EX_12dhchol(e),12dhchol(e),Cancer7,0.8912111869033512
10,EX_12dhchol(e),12dhchol(e),Cancer8,14.89680490993071
11,EX_12dhchol(e),12dhchol(e),Healthy1,1.9059045295739254
12,EX_12dhchol(e),12dhchol(e),Healthy2,0.38258229607654093
13,EX_12dhchol(e),12dhchol(e),Healthy3,8.018023279254816
14,EX_12dhchol(e),12dhchol(e),Healthy4,2.2845475429892383
15,EX_12dhchol(e),12dhchol(e),Healthy5,7.581872341512597
16,EX_12dhchol(e),12dhchol(e),Healthy6,3.4145692595975508
17,EX_12dhchol(e),12dhchol(e),Healthy7,2.871493151631525
18,EX_12dhchol(e),12dhchol(e),Healthy8,2.9132748360600793
19,EX_12ppd_S(e),12ppd_S(e),Cancer1,17.091019798511464
20,EX_12ppd_S(e),12ppd_S(e),Cancer2,0.8889675355403138
21,EX_12ppd_S(e),12ppd_S(e),Cancer3,12.910178897164467
22,EX_12ppd_S(e),12ppd_S(e),Cancer4,12.497174906148906
23,EX_12ppd_S(e),12ppd_S(e),Cancer5,13.038795503341678
24,EX_12ppd_S(e),12ppd_S(e),Cancer6,2.45971588524607
25,EX_12ppd_S(e),12ppd_S(e),Cancer7,4.197833139461592
26,EX_12ppd_S(e),12ppd_S(e),Cancer8,18.955982411706778
27,EX_12ppd_S(e),12ppd_S(e),Healthy1,8.764164911803627
28,EX_12ppd_S(e),12ppd_S(e),Healthy2,0.38292659986262323
29,EX_12ppd_S(e),12ppd_S(e),Healthy3,12.318045503264418
30,EX_12ppd_S(e),12ppd_S(e),Healthy4,3.758692305682988
31,EX_12ppd_S(e),12ppd_S(e),Healthy5,11.879772767334337
32,EX_12ppd_S(e),12ppd_S(e),Healthy6,0.8820578288907623
33,EX_12ppd_S(e),12ppd_S(e),Healthy7,0.06593409652196237
34,EX_12ppd_S(e),12ppd_S(e),Healthy8,11.318984923952577
35,EX_13ppd(e),13ppd(e),Cancer4,0.0015037863297389297
36,EX_13ppd(e),13ppd(e),Healthy5,0.08527390489222932
37,EX_13ppd(e),13ppd(e),Healthy6,0.003225625096702159
38,EX_15dap(e),15dap(e),Cancer1,0.19425807881470275
39,EX_15dap(e),15dap(e),Cancer2,1.5555274880570656e-14
40,EX_15dap(e),15dap(e),Cancer3,0.06247831424717115
41,EX_15dap(e),15dap(e),Cancer4,2.370398224531654e-13
42,EX_15dap(e),15dap(e),Cancer5,7.164343873199318e-05
43,EX_15dap(e),15dap(e),Cancer6,2.211110078210929e-07
44,EX_15dap(e),15dap(e),Cancer7,0.026855397535946953
45,EX_15dap(e),15dap(e),Cancer8,4.131946727442767e-11
46,EX_15dap(e),15dap(e),Healthy3,4.967002183080587e-09
47,EX_15dap(e),15dap(e),Healthy4,5.6081214684009394e-05
48,EX_15dap(e),15dap(e),Healthy6,1.7928434749371658e-12
49,EX_15dap(e),15dap(e),Healthy7,0.4541152919212987
50,EX_26dap_M(e),26dap_M(e),Cancer1,2.3068992700133872
51,EX_26dap_M(e),26dap_M(e),Cancer2,1.687490663428949
52,EX_26dap_M(e),26dap_M(e),Cancer3,3.3945873441552528
53,EX_26dap_M(e),26dap_M(e),Cancer4,0.9814137974851976
54,EX_26dap_M(e),26dap_M(e),Cancer5,1.0325927424096053
55,EX_26dap_M(e),26dap_M(e),Cancer6,0.339607431924887
56,EX_26dap_M(e),26dap_M(e),Cancer7,1.5756169721630513
57,EX_26dap_M(e),26dap_M(e),Cancer8,4.269375919852923
58,EX_26dap_M(e),26dap_M(e),Healthy1,0.012198424880396715
59,EX_26dap_M(e),26dap_M(e),Healthy2,0.0005784890609057419
60,EX_26dap_M(e),26dap_M(e),Healthy3,0.9936298607126162
61,EX_26dap_M(e),26dap_M(e),Healthy4,0.8153471488917152
62,EX_26dap_M(e),26dap_M(e),Healthy5,7.510355467711749
63,EX_26dap_M(e),26dap_M(e),Healthy6,1.170136887533497
64,EX_26dap_M(e),26dap_M(e),Healthy7,3.6310980458301776
65,EX_26dap_M(e),26dap_M(e),Healthy8,0.48583800397278193
66,EX_2ddglcn(e),2ddglcn(e),Cancer1,0.8524354243497339
67,EX_2ddglcn(e),2ddglcn(e),Cancer2,0.6095224096085758
68,EX_2ddglcn(e),2ddglcn(e),Cancer3,0.0421357475400394
69,EX_2ddglcn(e),2ddglcn(e),Cancer5,0.009059203977323207
70,EX_2ddglcn(e),2ddglcn(e),Cancer6,1.4151705913304028e-08
71,EX_2ddglcn(e),2ddglcn(e),Cancer7,1.257506791762968e-12
72,EX_2ddglcn(e),2ddglcn(e),Cancer8,0.0035607982838497918
73,EX_2ddglcn(e),2ddglcn(e),Healthy1,4.0448735187294505e-10
74,EX_2ddglcn(e),2ddglcn(e),Healthy3,1.2134413053781746e-09
75,EX_2ddglcn(e),2ddglcn(e),Healthy4,5.73441721741424e-14
76,EX_2ddglcn(e),2ddglcn(e),Healthy5,6.875824507206911e-11
77,EX_2ddglcn(e),2ddglcn(e),Healthy6,3.1859131141172e-11
78,EX_2ddglcn(e),2ddglcn(e),Healthy7,1.3594187995190128
