abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.0011189854531891087,0.0,1867,1422,Acinetobacter,,Cancer2
0.0018649757553151811,0.0,2445,1643,Actinomyces,,Cancer2
0.034129056322267814,14.432652280753643,2650,1613,Alistipes,,Cancer2
0.014360313315926895,0.0,2034,1491,Anaerostipes,,Cancer2
0.18500559492726598,0.0,3307,1887,Bacteroides,,Cancer2
0.00037299515106303626,0.0,1386,1194,Bilophila,,Cancer2
0.1441626258858635,8.662937034387141e-11,3108,1818,Blautia,,Cancer2
0.0041029466616933985,0.0,1915,1442,Butyricicoccus,,Cancer2
0.009138381201044389,0.0,2629,1587,Collinsella,,Cancer2
0.02965311450951138,0.0,2368,1614,Dorea,,Cancer2
0.0013054830287206269,0.0,2570,1790,Enterococcus,,Cancer2
0.00037299515106303626,0.0,2826,1639,Erysipelatoclostridium,,Cancer2
0.0885863483774711,1.8396924412705687e-10,1986,1472,Faecalibacterium,,Cancer2
0.0236851920925028,2.3520740910498716e-11,1504,1246,Haemophilus,,Cancer2
0.005408429690414026,0.0,3174,1970,Lachnoclostridium,,Cancer2
0.003543453935098844,0.0,1163,1052,Lachnospira,,Cancer2
0.0005594927265945544,0.0,3241,1907,Lactobacillus,,Cancer2
0.0011189854531891087,0.0,1703,1336,Listeria,,Cancer2
0.21857515852293924,0.0,1063,1000,Methanobrevibacter,,Cancer2
0.001491980604252145,0.0,1329,1106,Neisseria,,Cancer2
0.00783289817232376,0.0,2526,1594,Odoribacter,,Cancer2
0.028161133905259234,0.0,2870,1747,Parabacteroides,,Cancer2
0.006154419992540098,0.0,1019,945,Phascolarctobacterium,,Cancer2
0.018649757553151812,0.0,1361,1138,Porphyromonas,,Cancer2
0.0007459903021260725,0.0,2184,1588,Pseudomonas,,Cancer2
0.019768743006340923,0.0,2357,1567,Roseburia,,Cancer2
0.00391644908616188,0.0,2002,1482,Staphylococcus,,Cancer2
0.04177545691906006,0.0,2896,1822,Streptococcus,,Cancer2
0.10238716896680344,0.0,1731,1301,Subdoligranulum,,Cancer2
0.0020514733308466993,0.0,1832,1405,Veillonella,,Cancer2
0.0011189854531891087,0.1773707326108631,1867,1422,Acinetobacter,1.0,Cancer2
0.0018649757553151811,3.932484506772768e-06,2445,1643,Actinomyces,1.0,Cancer2
0.034129056322267814,7.860918473468876,2650,1613,Alistipes,1.0,Cancer2
0.014360313315926895,1.266087519084685e-07,2034,1491,Anaerostipes,1.0,Cancer2
0.18500559492726598,2.00601919069321e-08,3307,1887,Bacteroides,1.0,Cancer2
0.00037299515106303626,2.764269291384511e-06,1386,1194,Bilophila,1.0,Cancer2
0.1441626258858635,1.512120804026706e-08,3108,1818,Blautia,1.0,Cancer2
0.0041029466616933985,3.6637181094371114e-07,1915,1442,Butyricicoccus,1.0,Cancer2
0.009138381201044389,1.6255062353726688e-07,2629,1587,Collinsella,1.0,Cancer2
0.02965311450951138,5.7972180839009145e-08,2368,1614,Dorea,1.0,Cancer2
0.0013054830287206269,6.378473105440994e-07,2570,1790,Enterococcus,1.0,Cancer2
0.00037299515106303626,2.766796243103542e-05,2826,1639,Erysipelatoclostridium,1.0,Cancer2
0.0885863483774711,3.316647560262186e-08,1986,1472,Faecalibacterium,1.0,Cancer2
0.0236851920925028,5.454856068286103,1504,1246,Haemophilus,1.0,Cancer2
0.005408429690414026,3.197238474930553e-07,3174,1970,Lachnoclostridium,1.0,Cancer2
0.003543453935098844,4.453350882629509e-07,1163,1052,Lachnospira,1.0,Cancer2
0.0005594927265945544,1.1246207017112589e-06,3241,1907,Lactobacillus,1.0,Cancer2
0.0011189854531891087,1.1174498387034846e-06,1703,1336,Listeria,1.0,Cancer2
0.21857515852293924,1.5751620871495736e-07,1063,1000,Methanobrevibacter,1.0,Cancer2
0.001491980604252145,0.3436258925581027,1329,1106,Neisseria,1.0,Cancer2
0.00783289817232376,1.8039738770226108,2526,1594,Odoribacter,1.0,Cancer2
0.028161133905259234,1.1941424106014015e-06,2870,1747,Parabacteroides,1.0,Cancer2
0.006154419992540098,1.4445270651975236e-07,1019,945,Phascolarctobacterium,1.0,Cancer2
0.018649757553151812,4.295278723963501,1361,1138,Porphyromonas,1.0,Cancer2
0.0007459903021260725,0.17181983374777243,2184,1588,Pseudomonas,1.0,Cancer2
0.019768743006340923,6.447296706193313e-08,2357,1567,Roseburia,1.0,Cancer2
0.00391644908616188,3.835127818468271e-07,2002,1482,Staphylococcus,1.0,Cancer2
0.04177545691906006,7.028604407113345e-10,2896,1822,Streptococcus,1.0,Cancer2
0.10238716896680344,7.798870720289746e-09,1731,1301,Subdoligranulum,1.0,Cancer2
0.0020514733308466993,6.165894046040604e-06,1832,1405,Veillonella,1.0,Cancer2
0.0011189854531891087,0.08138349252583371,1867,1422,Acinetobacter,0.9,Cancer2
0.0018649757553151811,0.003784307751883131,2445,1643,Actinomyces,0.9,Cancer2
0.034129056322267814,3.1985909055342865,2650,1613,Alistipes,0.9,Cancer2
0.014360313315926895,7.126979265797832e-05,2034,1491,Anaerostipes,0.9,Cancer2
0.18500559492726598,1.178769512805854e-05,3307,1887,Bacteroides,0.9,Cancer2
0.00037299515106303626,0.0016991656388375502,1386,1194,Bilophila,0.9,Cancer2
0.1441626258858635,7.903035924180304e-06,3108,1818,Blautia,0.9,Cancer2
0.0041029466616933985,0.0001885597369111865,1915,1442,Butyricicoccus,0.9,Cancer2
0.009138381201044389,9.066197669858043e-05,2629,1587,Collinsella,0.9,Cancer2
0.02965311450951138,3.868285641349629e-05,2368,1614,Dorea,0.9,Cancer2
0.0013054830287206269,0.00043615843604842867,2570,1790,Enterococcus,0.9,Cancer2
0.00037299515106303626,0.004549641109076775,2826,1639,Erysipelatoclostridium,0.9,Cancer2
0.0885863483774711,9.985443277861505e-06,1986,1472,Faecalibacterium,0.9,Cancer2
0.0236851920925028,2.219643341876689,1504,1246,Haemophilus,0.9,Cancer2
0.005408429690414026,0.0001814850454381299,3174,1970,Lachnoclostridium,0.9,Cancer2
0.003543453935098844,0.0002348137619925974,1163,1052,Lachnospira,0.9,Cancer2
0.0005594927265945544,0.0009151102451869539,3241,1907,Lactobacillus,0.9,Cancer2
0.0011189854531891087,0.0007053264624007507,1703,1336,Listeria,0.9,Cancer2
0.21857515852293924,1.094399552811931,1063,1000,Methanobrevibacter,0.9,Cancer2
0.001491980604252145,0.140594450053977,1329,1106,Neisseria,0.9,Cancer2
0.00783289817232376,0.7341824751995351,2526,1594,Odoribacter,0.9,Cancer2
0.028161133905259234,0.045585970248062734,2870,1747,Parabacteroides,0.9,Cancer2
0.006154419992540098,7.944836706837659e-05,1019,945,Phascolarctobacterium,0.9,Cancer2
0.018649757553151812,1.74781164632562,1361,1138,Porphyromonas,0.9,Cancer2
0.0007459903021260725,0.07193980206591637,2184,1588,Pseudomonas,0.9,Cancer2
0.019768743006340923,4.072030165174178e-05,2357,1567,Roseburia,0.9,Cancer2
0.00391644908616188,0.00022244582669769545,2002,1482,Staphylococcus,0.9,Cancer2
0.04177545691906006,1.4874592827869997e-05,2896,1822,Streptococcus,0.9,Cancer2
0.10238716896680344,4.734006485923781e-06,1731,1301,Subdoligranulum,0.9,Cancer2
0.0020514733308466993,0.004496853894870793,1832,1405,Veillonella,0.9,Cancer2
0.0011189854531891087,0.015023916764175228,1867,1422,Acinetobacter,0.8,Cancer2
0.0018649757553151811,0.009460119102396686,2445,1643,Actinomyces,0.8,Cancer2
0.034129056322267814,0.33871120016307416,2650,1613,Alistipes,0.8,Cancer2
0.014360313315926895,0.0059335647865368405,2034,1491,Anaerostipes,0.8,Cancer2
0.18500559492726598,0.5914537965353427,3307,1887,Bacteroides,0.8,Cancer2
0.00037299515106303626,0.0027731089131573087,1386,1194,Bilophila,0.8,Cancer2
0.1441626258858635,0.01479758393599139,3108,1818,Blautia,0.8,Cancer2
0.0041029466616933985,0.0008302160594515705,1915,1442,Butyricicoccus,0.8,Cancer2
0.009138381201044389,0.007023251480151995,2629,1587,Collinsella,0.8,Cancer2
0.02965311450951138,4.496251918586826e-06,2368,1614,Dorea,0.8,Cancer2
0.0013054830287206269,0.0031688731249440785,2570,1790,Enterococcus,0.8,Cancer2
0.00037299515106303626,0.004115788363070675,2826,1639,Erysipelatoclostridium,0.8,Cancer2
0.0885863483774711,4.3656235202175837e-07,1986,1472,Faecalibacterium,0.8,Cancer2
0.0236851920925028,0.2350540866893039,1504,1246,Haemophilus,0.8,Cancer2
0.005408429690414026,0.005320301665042774,3174,1970,Lachnoclostridium,0.8,Cancer2
0.003543453935098844,0.0002012323079853083,1163,1052,Lachnospira,0.8,Cancer2
0.0005594927265945544,0.0022365814993541154,3241,1907,Lactobacillus,0.8,Cancer2
0.0011189854531891087,0.0024695726329348254,1703,1336,Listeria,0.8,Cancer2
0.21857515852293924,1.154992285341286,1063,1000,Methanobrevibacter,0.8,Cancer2
0.001491980604252145,0.017891131687344155,1329,1106,Neisseria,0.8,Cancer2
0.00783289817232376,0.07773851109328629,2526,1594,Odoribacter,0.8,Cancer2
0.028161133905259234,0.1481428516901395,2870,1747,Parabacteroides,0.8,Cancer2
0.006154419992540098,0.005061233929092148,1019,945,Phascolarctobacterium,0.8,Cancer2
0.018649757553151812,0.185081122586536,1361,1138,Porphyromonas,0.8,Cancer2
0.0007459903021260725,0.010578604248377954,2184,1588,Pseudomonas,0.8,Cancer2
0.019768743006340923,0.002558602002150831,2357,1567,Roseburia,0.8,Cancer2
0.00391644908616188,0.0002820262845655116,2002,1482,Staphylococcus,0.8,Cancer2
0.04177545691906006,1.5457250537727238e-06,2896,1822,Streptococcus,0.8,Cancer2
0.10238716896680344,0.042262912358675714,1731,1301,Subdoligranulum,0.8,Cancer2
0.0020514733308466993,0.010067434294782645,1832,1405,Veillonella,0.8,Cancer2
0.0011189854531891087,0.003046612651718971,1867,1422,Acinetobacter,0.7000000000000001,Cancer2
0.0018649757553151811,0.005074039208267209,2445,1643,Actinomyces,0.7000000000000001,Cancer2
